Genus,Morphospecies identifier,Description
Osmia,SpO1,"Wide cheek, mixed color hair on face and scutellum, propodeal triangle lightly sculpted across base but tessellated apically, gap between teeth 1 and 2 smaller than 2 and 3"
Osmia,SpO3,"Bright blue, all black vestiture, clypeus prominent, first 2 teeth melded into 2-pronged cutting edge"
Lasioglossum,A1,"Blue, aqua face, clypeus highly reflective and less punctate in distal third, areas lateral to antennal fossa especially shiny, scutum tessellated around anterior midline, propodeal sculpting tessellated with a few straight radials, oblique carina reduced, acarinium present"
Lasioglossum,B1,"Black, scutellum with two shiny spots lateral to midline, propodeal dorsum with small granular ridge at anterior border, propodeal very lightly sculptured anteriorly to granular near edge, wings hyaline, pronotal sulcus"
Lasioglossum,B2,"Black, propodeum heavily sculpted to rear carina, oblique carina goes almost to top, vestiture golden, scutum shinier in central posterior portion than anterior, no pronotal sulcus"
Lasioglossum,B3,"Black, hook-shaped oblique carinae, dorsal sculpture fine, all the way to a blunt edge, vestiture golden, pronotal sulcus sausagy, apical 4/5 clypeus shiny, no acarinium"
Lasioglossum,B4,"Black, long face, lateral clypeal/supraclypeal line more than 135 deg, propodeal sculpting in longer lines reaching carina at rear edge, oblique carinae strong"
Lasioglossum,B5,"Black, long abdomen, propodeum with radially dendritic sculpting and excavated proximal lip edge"
Lasioglossum,B6,"Black, dorsal propodeal sculpture deep with central vane, rear margin carinate but central gap, oblique carinae hook-shaped but weakening at upper turn, mesepisternum strongly rugose, acarinium present, black tegulae"
Lasioglossum,B7,"Black, acarinium present, dorsal propodeal striae short to outer edge of shining crescent, oblique carinae small, dorsal node on mesepisternum strongly pitted in contrast to rugulose proximal section, scutum less punctate between parapsidal lines"
Lasioglossum,B8,"Black, acarinium present, oblique carinae hook shaped, dorsal propodeal sculpting strong with no straight radials, vestiture golden, mesepisternum strongly rugose"
Lasioglossum,B9,"Black, small, propodeal surface with jagged thin carinae"
Lasioglossum,C1,"Metallic green, Propodeal dorsum rugose crooked radials to tess carina, oblique carina 100%, scutum punctition medially less, Acarinium weak, face supra clypeus tesselate, tera brown/polished, sterna S7 tesselated and transparent, mesepisternum rugulose/rugose"
Lasioglossum,C2,"Metallic green, Propodeal dorsum few radial lines; tessellation; small lip, oblique carina 4/5, scutum punctition less dese; but tessellation around anterior midline, acarinium yes, face oily, terga lightly punctate; tesselated in apical 1/5; brown reflect, sterna s7 translucent amber cf L laevissimum, mesepisternum blue x kelly green/rugulose"
Lasioglossum,C3,"Metallic green, propodeal dorsum triangle lines extend crookedly onto dorsal surface; no radials laterad to central ruga; carinae laterad to central lip, oblique carina 1/2, scutum punctition dense and highly tessellated, mesepisternum shallow punctures; knob indistinct"
Lasioglossum,C4,"Metallic green, propodeal dorsum radials dendritic inside distinct depression, oblique carina 2/3, scutum punctition less dense mediad to parapsidal line, acarinium yes, face oily 135, terga violet reflection; T1 polished, mesepisternum olive reflect; punctate"
Lasioglossum,C5,"Metallic green, propodeal dorsum short radials to distinct subcarinate golden lip, oblique carina 1/2, scutum punctition uniform, acarinium yes, face 135, terga brown; amber; apically violet reflection, mesepisternum punctate and shiny"
Lasioglossum,C7,"Metallic green, propodeal dorsum smooth, terga light brown"
Lasioglossum,C8,"Metallic green, propodeal dorsum whiny rugulose with lateral creases towards lip"
Lasioglossum,C9,"Metallic green, propodeal dorsum rugae slanting away from central ridge to smooth tessellated bluish lip, oblique carina 1/2, scutum punctition 2 untesselated stripes between parapsidal lines, acarinium yes, face 135, mesepisternum small rugae slanted backwards"
Lasioglossum,C10,"Metallic green, propodeal dorsum surrounded by dendritics on tessellated background, oblique carina 1/2, scutum punctition small tessellated triangle anteriorly, mesepisternum shiny punctate ventrally to tessellate knob"
Lasioglossum,C11,"Metallic green, propodeal dorsum rugae strong; extending over edge of lip; anterior face wrinkly; oblique carina 1/2, scutum punctition highly pitted and tessellated, mesepisternum granulose with indistinct punctures"
Lasioglossum,C12,"Metallic green, propodeal dorsum few radials to smooth edge, oblique carina 1/2, mesepisternum shiny pitted; knob indistinct"
Halictus,H1,"Propodeum dark; single central radial surrounded by brainlike shallow rugae, scutum shining green; highly punctate, mesepisternum knob punctate; rugulose below"
Halictus,H2,"Propodeum metallic; sculpting forming two whorls; margins punctate and tessellate, other yellow spot on fore basitarsus"
Halictus,H3,Propodeum sculpting fine and rugose; no straight radials; anterior margin barely excavated; central rugae reaching onto lip
Halictus,H4,Propodeum fine zigzag rugae within clearly excavated crescent; rugae straighter at distal ends
Halictus,H5,Propodeum short wormy rugae and apical transverse striae
Panurginus,P1,No additional description is available for this specimen. Access to specimens is available upon request.
Hylaeus,Sp1,No additional description is available for this specimen. Access to specimens is available upon request.
Sphecodes,BC02,Bold morphospecies identifier.
Sphecodes,USA01,Bold morphospecies identifier.
Sphecodes,OR2,Bold morphospecies identifier.
Sphecodes,Sp3,No additional description is available for this specimen. Access to specimens is available upon request.
