Site_ID,Year,Developed,Organic_status,Years_since_transition,Area,Perimeter
site_1,2014,65.87964296,Certified,6,11870,616
site_1,2015,65.67808811,Certified,6,11870,616
site_1,2016,65.73567521,Certified,6,11870,616
site_2,2014,35.35353535,Certified,12,22188,657
site_2,2015,35.23809524,Certified,12,22188,657
site_2,2016,35.32467532,Certified,12,22188,657
site_3,2014,95.37622056,OP,3,5782,324
site_3,2015,95.5198162,OP,3,5782,324
site_3,2016,95.60597358,OP,3,5782,324
site_4,2014,90.05461339,OP,30,2650,272
site_4,2015,90.14084507,OP,30,2650,272
site_4,2016,90.16958896,OP,30,2650,272
site_5,2014,59.49294152,Certified,7,29664,804
site_5,2015,59.52175166,Certified,7,29664,804
site_5,2016,59.78104293,Certified,7,29664,804
site_6,2014,9.585867362,Certified,9,19207,706
site_6,2015,9.585867362,Certified,9,19207,706
site_6,2016,9.614827686,Certified,9,19207,706
site_7,2014,66.79304897,OP,21,5109,363
site_7,2015,66.82464455,OP,21,5109,363
site_7,2016,66.91943128,OP,21,5109,363
site_8,2014,5.755395683,Certified,6,18571,861
site_8,2015,6.100719424,Certified,6,18571,861
site_8,2016,5.525179856,Certified,6,18571,861
site_9,2014,8.024158758,Certified,19,139384,1987
site_9,2015,8.052919183,Certified,19,139384,1987
site_9,2016,8.13920046,Certified,19,139384,1987
site_10,2014,3.33716916,Certified,9,25852,719
site_10,2015,3.481012658,Certified,9,25852,719
site_10,2016,3.135788262,Certified,9,25852,719
site_11,2014,99.36672424,OP,43,5036,317
site_11,2015,99.42429476,OP,43,5036,317
site_11,2016,99.42429476,OP,43,5036,317
site_12,2014,63.97228637,OP,27,3428,264
site_12,2015,64.72286374,OP,27,3428,264
site_12,2016,72.22863741,OP,27,3428,264
site_13,2014,96.42959977,OP,35,6341,392
site_13,2015,96.37201267,OP,35,6341,392
site_13,2016,96.42959977,OP,35,6341,392
site_14,2014,99.50781702,OP,4,1701,174
site_14,2015,99.50781702,OP,4,1701,174
site_14,2016,99.50781702,OP,4,1701,174
site_15,2014,74.84909457,OP,40,4628,307
site_15,2015,75.22276516,OP,40,4628,307
site_15,2016,75.25150905,OP,40,4628,307
site_16,2014,88.03566293,OP,20,2968,289
site_16,2015,88.15070463,OP,20,2968,289
site_16,2016,88.09318378,OP,20,2968,289
site_17,2014,10.6927278,OP,1,298,331
site_17,2015,10.6927278,OP,1,298,331
site_17,2016,10.6639839,OP,1,298,331
site_18,2014,98.8184438,OP,14,1396,193
site_18,2015,98.84726225,OP,14,1396,193
site_18,2016,98.8184438,OP,14,1396,193
site_19,2014,81.88908146,OP,30,1661,163
site_19,2015,81.94685153,OP,30,1661,163
site_19,2016,82.23570191,OP,30,1661,163
site_20,2014,7.047949162,Certified,17,222538,3461
site_20,2015,7.047949162,Certified,17,222538,3461
site_20,2016,7.0768342,Certified,17,222538,3461
site_21,2014,27.6140959,Certified,23,30406,758
site_21,2015,27.72963605,Certified,23,30406,758
site_21,2016,27.75852109,Certified,23,30406,758
site_22,2014,37.29106628,Certified,5,5069,389
site_22,2015,37.23342939,Certified,5,5069,389
site_22,2016,37.31988473,Certified,5,5069,389
site_23,2014,10.88023088,Certified,16,21809,704
site_23,2015,10.88023088,Certified,16,21809,704
site_23,2016,10.85137085,Certified,16,21809,704
site_24,2014,57.46096009,Certified,5,1247,159
site_24,2015,57.46096009,Certified,5,1247,159
site_24,2016,57.57663389,Certified,5,1247,159
site_25,2014,11.05977476,Certified,23,85458,1222
site_25,2015,11.08865146,Certified,23,85458,1222
site_25,2016,11.14640485,Certified,23,85458,1222
site_26,2014,11.42527409,Certified,12,27477,816
site_26,2015,12.00230814,Certified,12,27477,816
site_26,2016,11.62723601,Certified,12,27477,816
site_27,2014,93.47951529,Certified,8,1010,178
site_27,2015,93.50836699,Certified,8,1010,178
site_27,2016,93.5949221,Certified,8,1010,178
site_28,2014,47.52018454,Certified,2,39072,802
site_28,2015,47.52018454,Certified,2,39072,802
site_28,2016,47.83737024,Certified,2,39072,802
site_29,2014,5.446118192,Certified,2,18448,766
site_29,2015,5.446118192,Certified,2,18448,766
site_29,2016,5.446118192,Certified,2,18448,766
site_30,2014,27.08991669,OP,6,10087,402
site_30,2015,26.97500718,OP,6,10087,402
site_30,2016,27.03246194,OP,6,10087,402
site_31,2014,22.09101382,Certified,17,9377,493
site_31,2015,22.03341014,Certified,17,9377,493
site_31,2016,22.06221198,Certified,17,9377,493
site_32,2014,93.38319908,OP,43,7988,419
site_32,2015,93.41196778,OP,43,7988,419
site_32,2016,93.38319908,OP,43,7988,419
site_33,2014,12.34140715,OP,0,115349,1884
site_33,2015,13.84083045,OP,0,115349,1884
site_33,2016,13.49480969,OP,0,115349,1884
site_34,2014,81.67146974,OP,2,998,195
site_34,2015,81.67146974,OP,2,998,195
site_34,2016,82.73775216,OP,2,998,195
site_35,2014,46.30057803,Certified,2,72892,1093
site_35,2015,46.96531792,Certified,2,72892,1093
site_35,2016,47.5433526,Certified,2,72892,1093
site_36,2014,13.60347323,Certified,9,58155,1296
site_36,2015,13.54558611,Certified,9,58155,1296
site_36,2016,13.71924747,Certified,9,58155,1296
