Site,Station,lat,long
POS,POS1,47.4238,-122.3071
POS,POS2,47.4301,-122.3051
POS,POS3,47.4285,-122.3036
POS,POS4,47.4232,-122.3092
POS,POS5,47.423,-122.3076
POS,POS6,47.4236,-122.3102
POS,POS7,47.4252,-122.3076
POS,POS8,47.4277,-122.3078
POS,POS9,47.4263,-122.3061
POS,POS10,47.4276,-122.3063
POS,POS11,47.4295,-122.3048
POS,POS12,47.4292,-122.3035
POS,POS13,47.4244,-122.3085
POS,POS14,47.4244,-122.3085
POS,POS15,47.4244,-122.3085
POS,POS16,47.4244,-122.3085
POS,POS17,47.4292,-122.3035
POS,POS18,47.4292,-122.3035
POS,POS19,47.4292,-122.3035
POS,POS20,47.4235,-122.3077
POS,POS21,47.4233,-122.3085
POS,POS22,47.4267,-122.3069
POS,POS23,47.4276,-122.3087
POS,POS24,47.4298,-122.3057
POS,POS25,47.4285,-122.3063
POS,POS26,47.4263,-122.3079
POS,POS27,47.4274,-122.3081
POS,POS28,47.4294,-122.305
BPF,BPF1,47.93,-122.2852
BPF,BPF2,47.9307,-122.2853
BPF,BPF3,47.933,-122.285
BPF,BPF4,47.9324,-122.2855
BPF,BPF5,47.933,-122.2741
BPF,BPF6,47.9328,-122.2748
BPF,BPF7,47.9297,-122.285
BPF,BPF8,47.9332,-122.2854
SCL,SCL1,47.50602,-122.2677
SCL,SCL2,47.50396,-122.27554
SCL,SCL3,47.50293,-122.2847
SCL,SCL4,47.51312,-122.3064
SCL,SCL5,47.50525,-122.26536
