"Species","BPF","POS","SCL","MeanDecreaseAccuracy","MeanDecreaseGini"
"Halictus tripartitus",38,11603,146,12.9296779605268,3.4393963915298
"Agapostemon texanus",24,2269,275,10.8479007647133,2.75589237224735
"Bombus melanopygus",89,23,2,8.65752651867171,1.7962172355376
"Osmia albolateralis",2,204,9,7.93811784110858,1.64493744333758
"Apis mellifera",8,444,123,7.61791322409118,1.62264129475358
"Melissodes rivalis",32,17,28,7.53311906726319,1.60689122932248
"Halictus confusus",97,108,3,7.62123820592338,1.40830892967454
"Bombus fervidus",9,196,51,6.88405138785261,1.30686502958307
"Bombus vosnesenskii",248,1556,344,6.57177882482122,1.1602738665189
"Bombus mixtus",135,433,51,NA,NA
