"Species","Site"
"Lasioglossum nigroviride","BPF"
"Colletes kincaidii","POS"
"Megachile onobrychidis","POS"
"Andrena subtilis","POS"
"Andrena gordoni","POS"
"Lasioglossum punctatoventre","POS"
"Lasioglossum sedi","POS"
"Megachile fidelis","POS"
"Coelioxys gilensis","POS"
"Andrena miranda","POS"
"Andrena subaustralis","POS"
"Megachile gravita","POS"
"Agapostemon femoratus","POS"
"Nomada formula","POS"
"Andrena hippotes","SCL"
"Andrena buckelli","SCL"
"Osmia densa","SCL"
"Lasioglossum yukonae","SCL"
"Andrena transnigra","SCL"
"Lasioglossum ovaliceps","SCL"
